username,tweet
Devaina,sen barang shopee cari jual bogor eh kirim pakai shopee ekspresi trackingnya kirim jakarta bogor malam pakai jnt pagi
Devaina,didiemin mikirnya ganggu eh panggil damkar mudah an aman
Devaina,drama lebaran biawak pinggir kolam buaya gugup an
Devaina,kabar kemarin keluarga ayah kumpul rumah malam pakai prokes kumpul sebentar pulang eh gereget ken marah campur khawatir
Devaina,sedih hampers kasih tim menerima hampers impas iya berteman
Devaina,menerima hampers sih iya maklum salur ting
Devaina,kirim ulang dibalikin tawa balas
Devaina,iya serba salaah kirim budgetnya prioritasin kirim balesan kirim
Devaina,semoga teman sayang kirim hampers lebaran
Devaina,pesan hampers serama tahun alhamdulillah sen suami sen kirim pasang maaf kopi pampang muka bayar
Devaina,hampers kopi suami preorder tanggal mei kirim bogor mei kirim jakarta mei whatsapp
Devaina,pedih bangun imsak tawa
Devaina,wajib
Devaina,beliau senang
Devaina,hamil suami bilang dokter mengantarkan kontrol trauma tengah malam gilir
Devaina,hamil kontrol lahir dokter
Devaina,kontrol dokter kandung lahirin rania antre selai selai dokter operasi
Devaina,superindo pakai
Devaina,aduh rayu cemil pakai nasi panas habis bakul
Devaina,tawa sih saudara bungsu dilema prihatin
Devaina,semangat karyawannya ambil tantang ambil lemah sulit sulit iya usaha ngehargain karyawannya
Devaina,whatsapp status
Devaina,malam tidur selai magrib kantuk berat sholat kemarin bangun selai bangun selai susah tidur kantuk alamat malam tidur cepat
Devaina,setuju
Devaina,sanggup baca berita celaka pesawat sedih baca berita kabar corona energi kuras habis
Devaina,semoga saudara lekas sembuh iya cuul keluarga aman sehat amin
Devaina,iya sih siswa lumayan iya ajar lengkap iya masjid rumah anak iya beda
Devaina,jaman mengaji tpa bayar murah cari guru mengaji anak iya mahal online biaya sekolah anak tanda mengajari
Devaina,iya kasih coba pilih ribu kebel sih jail nyemil ribu anggar cemil berat
Devaina,pizza pondok jual pinggir jalan keliling rumah motor bicara nyala turun kah jual pizza pandemi kasih beli sayang ribu beli isi beli toppingnya pakai gofood
Devaina,jelek tahun senang temu syukur milik percaya nama rezeki mengatur dikhawatirin bismillah
Devaina,kenal tuhan waktu lapang tuhan tolong waktu sempit
Devaina,favorit nonton musim
Devaina,cocok mendengarkan kelas online malam kantuk smlm nyerah mendengarkan tengah tidur senja
