username,tweet
shelfiw,kadang kadang
shelfiw,alhamdulillah libur
shelfiw,alhamdulillah untung jadwal jaga semangat pergi alhamdulillah saudara wanita jaga bareng saudara wanita lemak seru ah mantap jaga senja
shelfiw,iya toilet jaga pagi sih siang senja personil dikit banget takut besok pergi rumah
shelfiw,amin amin terimakasih kilometer sehat keluarga
shelfiw,belaga libur telepon sayang ayo keluh
shelfiw,tawa boyolali
shelfiw,iya mel semangat kook semoga sehaat iya mel
shelfiw,suka duluan pasang jaga aduh lelah hati
shelfiw,lelah lho bantu adlnya lelah selesai
shelfiw,tidur penuh mulangin sen pakai nrm
shelfiw,fase lelah corona
shelfiw,hawa gugup an telepon bos
shelfiw,kilometer bilang lelah
shelfiw,lelah
shelfiw,cari youtube tawa
shelfiw,amin makasiihh nyanyaa
shelfiw,puanase pol hujan
shelfiw,oke pesan shopee
shelfiw,beli malu
shelfiw,menyebalkan diam iya kilometer bicara kesal
shelfiw,awat ikhlas bayar murah
shelfiw,taar pengeenn beli harga berapaa
shelfiw,dasar suka iya suka
shelfiw,nama bareng iya mesti cocok sedih bareng malas meh pergi
shelfiw,sabar jadwal sabar libur semoga libur banyaakk
shelfiw,habis rada marah eehh ganti marah kesal ganti dimarahi
shelfiw,vc beda ketemu
shelfiw,niat temannya ultang tahun kos nyala mobil lagu ulang tahun kencang tetangga kedengaran
shelfiw,asyik
shelfiw,kadang mengomongnya pakai bahasa indonesia pakai bahasa jawa susah takut bilang sopan pakenya bahasa indonesia
shelfiw,jadwal semangat pergi malas suka pergi
shelfiw,temu cuplik cinta lies thai film ken tonton
shelfiw,jadwal sahabat ssmoga cepat uang jadwal sahabat
shelfiw,saiki tawa
shelfiw,aduh pakai masker pakai senyum
shelfiw,rencana putar sakit tidur magrib efek jaga senja pulang selai selesai lebaran ramee
shelfiw,gugup an hilang kasih habis rumah
shelfiw,seru tengah tawa
shelfiw,iya nik
shelfiw,shelfi golek sakit hati kontak
shelfiw,aduh lupa matiin lokasi
shelfiw,kesini aneehh
shelfiw,bar kui bosan jalan hidup
shelfiw,alhamdulillah jadwal jaga kejam kuliah
shelfiw,iya unggah adek bayi minjem sepupu
shelfiw,pindah
shelfiw,menang baca juta
shelfiw,semoga terima saudara wanita amin marah siswa
shelfiw,har bahasa indonesia
shelfiw,saudara wanita iya teman unggah foto hamil tunggu adek bayi unggah adek bayi
shelfiw,adel sedih ken undur undur undur
shelfiw,nyanyi
shelfiw,timbang gaji
shelfiw,ayo
shelfiw,del undur undur undur
shelfiw,serba salah deh nempatin kosong tunggu suruh ganti bilang lari kosong pikir saudara wanita saudara wanita
shelfiw,gatauu deng belaga belaga nilai
shelfiw,kakeann guaaya suka iya suka kesal tipe muka tawa
shelfiw,tidur gasik ujung tidur dilakuin
shelfiw,sabar bozz kuat hati
shelfiw,melek besok pagi kantuk kantuk jalan pagi
shelfiw,pulang telepon rumah sakit bawa gugup an takut
shelfiw,duuh maaf anak kemarinn
shelfiw,yogyakarta nekad
shelfiw,utama
shelfiw,tawa ken
shelfiw,nebeng bunda
shelfiw,mantap betuull
shelfiw,semarang yogyakarta tenangg
shelfiw,matiin serasa ngangenin sih orangnyaa
shelfiw,sabar ken telepon kasih dibangunin
shelfiw,awas ujung maaf
shelfiw,tidur ganggu nyala petas tukang motong tidur senja tidur ayam
shelfiw,nggih matursuwun
shelfiw,tumpuk boros ih
shelfiw,baca kantuk pakai nada panik
shelfiw,gofood iya sahur iya tuhan shelfi boros
shelfiw,aneh logbook makna logbook iya malas
shelfiw,logbook sekolah eh logbook logbook malas logbook
shelfiw,suka bingung bilang muka polos alis bentuk bibir keombre
shelfiw,saudara laki dewa ki tenan ajar
shelfiw,mimpi mimpi
shelfiw,rindu bawa ken ngambek
shelfiw,gugup an buka obrolan mmh kirim foto habis buka senyum
shelfiw,kemarin tawa
shelfiw,pagi nangisnangiss
shelfiw,doa semoga segeraa saudara
shelfiw,cerita isine tunang menikah
shelfiw,panggil untung panggil deeng geli panggil
shelfiw,semoga bos singgung diributin shelfi
shelfiw,isine penak ewoh wani ngonoo
shelfiw,iya allaah balada jaga senja besok pagi kasih ringan karu senja besok pagi lepas wedi aselii wedii
shelfiw,batal
shelfiw,nenek melek ngeleh makan wareg turu saudara wanita ngono
shelfiw,kabar apaaniihh
shelfiw,ken lemak cemil sate kulit
shelfiw,hih iya kado adek bayi
shelfiw,banget
shelfiw,alhamdulillah
shelfiw,ngantuukk siangg
shelfiw,cemil cemil ken tembalang
shelfiw,libur libur candu libur libur nikmat libur santai sepi libur
shelfiw,panasnyaa ketileng raya keringetan
shelfiw,saudara wanita uaang tawa
shelfiw,mesti laris beli teman
shelfiw,aduh ken beli
shelfiw,keringetan basah sesuatuhh palagi menetes mudah keringetan
shelfiw,ken pisang keju
shelfiw,tidur tidur
shelfiw,kadang tembalang beli burjo tawa
shelfiw,pusing pikir pakai seragam
shelfiw,ilinge vit sih seru
shelfiw,tarik anak produk corona nama remdesivir azivol dimer fafivirafir lucu iya
shelfiw,geli kostum nuansa merah warna merah muda kepala kaki
shelfiw,iya tuhan remdes remdesivir
shelfiw,kenopoo gedunge
shelfiw,del tawa
shelfiw,nyamaann
